User ID,E/I,S/N,T/F,J/P,Kelas
93,Rendah,Tinggi,Rendah,Rendah,INTJ
94,Rendah,Rendah,Rendah,Rendah,ISTJ
95,Rendah,Rendah,Rendah,Tinggi,ISTP
96,Rendah,Rendah,Rendah,Rendah,ISTJ
97,Tinggi,Tinggi,Rendah,Rendah,ENTJ
98,Tinggi,Rendah,Rendah,Tinggi,ESTP
99,Tinggi,Rendah,Tinggi,Tinggi,ESFP
100,Rendah,Tinggi,Tinggi,Tinggi,INFP
101,Tinggi,Tinggi,Tinggi,Tinggi,ENFP
102,Tinggi,Rendah,Rendah,Tinggi,ESTP
103,Rendah,Rendah,Rendah,Rendah,ISTJ
104,Rendah,Rendah,Tinggi,Tinggi,ISTJ
105,Rendah,Rendah,Rendah,Tinggi,ISTP
106,Tinggi,Rendah,Rendah,Rendah,ESTJ
107,Tinggi,Tinggi,Rendah,Rendah,ENTJ
108,Rendah,Tinggi,Rendah,Rendah,INTJ
109,Rendah,Tinggi,Rendah,Tinggi,INTP
110,Rendah,Tinggi,Rendah,Rendah,INTJ
111,Tinggi,Rendah,Rendah,Tinggi,ESTP
112,Rendah,Rendah,Rendah,Tinggi,ISTP
113,Rendah,Rendah,Tinggi,Tinggi,ISTP
114,Tinggi,Rendah,Rendah,Tinggi,ESTP
